inputOrderId,code,xmlPath,shortName,categoricalValue,isActionable,dataType,importanceRank,stdev
0,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_01,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_01,,,,,,
1,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_02,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_02,,,,,,
2,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_03,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_03,,,,,,
3,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_04,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_04,,,,,,
4,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_05,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_05,,,,,,
5,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_06,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_06,,,,,,
6,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_07,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_07,,,,,,
7,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_08,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_08,,,,,,
8,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_09,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_09,,,,,,
9,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_10,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_10,,,,,,
10,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_11,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_11,,,,,,
11,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_12,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_12,,,,,,
12,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_01,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_01,,,,,,
13,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_02,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_02,,,,,,
