inputVectorIndex,inputCode,xmlPath,label,categoricalValue,isActionable,isRelevant,units,decimals,displayPrecision,importanceRank,stdev
0,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_01,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_01,,,FALSE,FALSE,,,,,
1,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_02,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_02,,,FALSE,FALSE,,,,,
2,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_03,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_03,,,FALSE,FALSE,,,,,
3,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_04,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_04,,,FALSE,FALSE,,,,,
4,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_05,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_05,,,FALSE,FALSE,,,,,
5,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_06,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_06,,,FALSE,FALSE,,,,,
6,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_07,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_07,,,FALSE,FALSE,,,,,
7,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_08,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_08,,,FALSE,FALSE,,,,,
8,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_09,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_09,,,FALSE,FALSE,,,,,
9,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_10,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_10,,,FALSE,FALSE,,,,,
10,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_11,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_11,,,FALSE,FALSE,,,,,
11,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_12,WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_12,,,FALSE,FALSE,,,,,
12,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_01,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_01,,,FALSE,FALSE,,,,,
13,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_02,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_02,,,FALSE,FALSE,,,,,
14,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_03,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_03,,,FALSE,FALSE,,,,,
15,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_04,WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_04,,,FALSE,FALSE,,,,,
