code,xmlPath,importanceRank,stdev
WEATHER_DIRECT_SOLAR_RADIATION_VAR_05,,0,21746584
WEATHER_DIRECT_SOLAR_RADIATION_VAR_04,,1,20143784
WEATHER_DIRECT_SOLAR_RADIATION_VAR_07,,2,19968382
WEATHER_DIRECT_SOLAR_RADIATION_VAR_09,,3,19320122
WEATHER_DIRECT_SOLAR_RADIATION_VAR_06,,4,19044114
WEATHER_DIRECT_SOLAR_RADIATION_VAR_08,,5,18824250
WEATHER_DIRECT_SOLAR_RADIATION_VAR_10,,6,16294200
WEATHER_DIRECT_SOLAR_RADIATION_VAR_03,,7,15792810
WEATHER_DIRECT_SOLAR_RADIATION_VAR_02,,8,13713311
WEATHER_DIRECT_SOLAR_RADIATION_VAR_11,,9,12183563
WEATHER_DIRECT_SOLAR_RADIATION_VAR_12,,10,11170048
WEATHER_DIRECT_SOLAR_RADIATION_VAR_01,,11,10662635
X0138,HPXML.Building.BuildingDetails.BuildingSummary.BuildingConstruction.ConditionedFloorArea,12,5336155
X3714,HPXML.Building.BuildingDetails.Enclosure.Walls.Wall[WallExposed1].Area,13,4525102
X4386,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].ConditionedFloorAreaServed,14,4344854
X3141,HPXML.Building.BuildingDetails.Enclosure.Roofs.Roof[Roof1].Area,15,3778129
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_07,,16,3410397
X1597,HPXML.Building.BuildingDetails.Enclosure.FrameFloors.FrameFloor[FloorBelowAttic1].Area,17,3378743
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_05,,18,3125440
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_06,,19,3094935
X3435,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOnGrade1].Area,20,2981271
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_08,,21,2869046
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_04,,22,2729924
X3576,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabUnderCrawlspaceVented1].Area,23,2509553
X1417,HPXML.Building.BuildingDetails.Enclosure.FrameFloors.FrameFloor[FloorAboveVentedCrawl1].Area,24,2509553
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_03,,25,2360668
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_09,,26,2066974
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_02,,27,1681448
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_10,,28,1507789
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_11,,29,1117628
WEATHER_RELATIVE_HUMIDITY_VAR_10,,30,1064591
WEATHER_RELATIVE_HUMIDITY_VAR_09,,31,1015086
WEATHER_RELATIVE_HUMIDITY_VAR_05,,32,1014234
X0280,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallBasementConditionedExposed1].Area,33,1006427
X0847,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallCrawlspaceVentedExposed1].Area,34,994293
WEATHER_RELATIVE_HUMIDITY_VAR_11,,35,941479
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_01,,36,930972
WEATHER_RELATIVE_HUMIDITY_VAR_08,,37,878780
WEATHER_RELATIVE_HUMIDITY_VAR_04,,38,866233
WEATHER_RELATIVE_HUMIDITY_VAR_06,,39,792334
WEATHER_RELATIVE_HUMIDITY_VAR_03,,40,786983
X3297,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOfBasementConditioned1].Area,41,760709
X1237,HPXML.Building.BuildingDetails.Enclosure.FrameFloors.FrameFloor[FloorAboveConditionedBasement1].Area,42,760709
WEATHER_RELATIVE_HUMIDITY_VAR_07,,43,737520
WEATHER_DIFFUSE_SOLAR_RADIATION_VAR_12,,44,687604
WEATHER_RELATIVE_HUMIDITY_VAR_12,,45,560704
WEATHER_RELATIVE_HUMIDITY_VAR_02,,46,558584
WEATHER_RELATIVE_HUMIDITY_VAR_01,,47,558291
X4209,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowWest1].Azimuth,48,408817
WEATHER_DRYBULB_TEMPERATURE_VAR_01,,49,351196
WEATHER_DRYBULB_TEMPERATURE_VAR_02,,50,349137
WEATHER_WETBULB_TEMPERATURE_VAR_01,,51,321736
WEATHER_WETBULB_TEMPERATURE_VAR_02,,52,282852
WEATHER_DRYBULB_TEMPERATURE_VAR_03,,53,281027
X4197,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowSouth1].Azimuth,54,272307
X3441,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOnGrade1].ExposedPerimeter,55,267757
WEATHER_DRYBULB_TEMPERATURE_VAR_09,,56,256837
X2149,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistCrawlspaceVentedExposed1].Area,57,248039
X3579,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabUnderCrawlspaceVented1].ExposedPerimeter,58,248039
X2522,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory2Exposed].Area,59,234388
WEATHER_DRYBULB_TEMPERATURE_VAR_06,,60,227041
X0058,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.extension.VentedFlowRate,61,226804
WEATHER_DIRECT_SOLAR_RADIATION_MAX_07,,62,223176
WEATHER_DIRECT_SOLAR_RADIATION_MAX_03,,63,222817
WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_04,,64,222467
WEATHER_DRYBULB_TEMPERATURE_VAR_05,,65,222150
WEATHER_DIRECT_SOLAR_RADIATION_MAX_02,,66,222119
WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_08,,67,222111
WEATHER_DIRECT_SOLAR_RADIATION_MAX_06,,68,222111
WEATHER_DIRECT_SOLAR_RADIATION_MAX_08,,69,222111
WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_07,,70,221753
WEATHER_DIRECT_SOLAR_RADIATION_MAX_12,,71,221407
WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_09,,72,221051
WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_03,,73,221051
WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_05,,74,220694
WEATHER_DIRECT_SOLAR_RADIATION_MAX_11,,75,219985
WEATHER_DIRECT_SOLAR_RADIATION_MAX_04,,76,219978
WEATHER_RELATIVE_HUMIDITY_MAX_10,,77,219728
WEATHER_RELATIVE_HUMIDITY_MAX_06,,78,219728
WEATHER_RELATIVE_HUMIDITY_MAX_08,,79,219728
WEATHER_RELATIVE_HUMIDITY_MAX_09,,80,219728
WEATHER_DIRECT_SOLAR_RADIATION_MAX_05,,81,219640
WEATHER_DIRECT_SOLAR_RADIATION_MAX_10,,82,218931
WEATHER_RELATIVE_HUMIDITY_MAX_12,,83,218614
WEATHER_DIRECT_SOLAR_RADIATION_MAX_09,,84,218588
WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_10,,85,217544
WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_02,,86,216502
WEATHER_DIRECT_SOLAR_RADIATION_MAX_01,,87,216484
WEATHER_RELATIVE_HUMIDITY_MAX_04,,88,216343
WEATHER_RELATIVE_HUMIDITY_MAX_02,,89,215224
WEATHER_RELATIVE_HUMIDITY_MAX_03,,90,214207
WEATHER_RELATIVE_HUMIDITY_MAX_01,,91,214110
WEATHER_RELATIVE_HUMIDITY_MAX_07,,92,212034
WEATHER_DRYBULB_TEMPERATURE_VAR_04,,93,210908
WEATHER_DRYBULB_TEMPERATURE_VAR_07,,94,208247
WEATHER_DRYBULB_TEMPERATURE_MAX_09,,95,207706
WEATHER_DRYBULB_TEMPERATURE_MAX_08,,96,204211
WEATHER_DRYBULB_TEMPERATURE_MAX_07,,97,201080
WEATHER_DRYBULB_TEMPERATURE_MAX_06,,98,199764
WEATHER_DRYBULB_TEMPERATURE_VAR_08,,99,197801
WEATHER_DRYBULB_TEMPERATURE_MAX_05,,100,190645
WEATHER_WETBULB_TEMPERATURE_VAR_03,,101,189966
WEATHER_DRYBULB_TEMPERATURE_MAX_04,,102,189277
WEATHER_DRYBULB_TEMPERATURE_MAX_10,,103,177838
WEATHER_WETBULB_TEMPERATURE_MAX_06,,104,174802
WEATHER_RELATIVE_HUMIDITY_AVG_12,,105,174557
WEATHER_DRYBULB_TEMPERATURE_MIN_07,,106,172978
WEATHER_DRYBULB_TEMPERATURE_VAR_11,,107,172833
WEATHER_RELATIVE_HUMIDITY_AVG_08,,108,170833
WEATHER_DIRECT_SOLAR_RADIATION_AVG_05,,109,170080
WEATHER_RELATIVE_HUMIDITY_AVG_11,,110,169424
WEATHER_RELATIVE_HUMIDITY_AVG_01,,111,169346
WEATHER_RELATIVE_HUMIDITY_MIN_07,,112,168802
WEATHER_RELATIVE_HUMIDITY_AVG_10,,113,167886
WEATHER_RELATIVE_HUMIDITY_MIN_12,,114,166777
WEATHER_DRYBULB_TEMPERATURE_VAR_10,,115,166064
WEATHER_RELATIVE_HUMIDITY_AVG_07,,116,165640
WEATHER_DRYBULB_TEMPERATURE_MIN_09,,117,165515
WEATHER_RELATIVE_HUMIDITY_AVG_09,,118,165174
WEATHER_DRYBULB_TEMPERATURE_VAR_12,,119,163752
WEATHER_DIRECT_SOLAR_RADIATION_AVG_06,,120,163404
WEATHER_RELATIVE_HUMIDITY_AVG_06,,121,163098
WEATHER_WETBULB_TEMPERATURE_MAX_08,,122,162876
WEATHER_DIRECT_SOLAR_RADIATION_AVG_07,,123,162682
WEATHER_RELATIVE_HUMIDITY_AVG_02,,124,162225
WEATHER_WETBULB_TEMPERATURE_MAX_07,,125,161324
WEATHER_RELATIVE_HUMIDITY_AVG_03,,126,160400
WEATHER_RELATIVE_HUMIDITY_MIN_08,,127,159211
WEATHER_RELATIVE_HUMIDITY_MIN_03,,128,158233
WEATHER_RELATIVE_HUMIDITY_MIN_02,,129,157764
WEATHER_DRYBULB_TEMPERATURE_MAX_11,,130,157600
WEATHER_RELATIVE_HUMIDITY_MIN_04,,131,156865
WEATHER_WETBULB_TEMPERATURE_MAX_09,,132,156855
WEATHER_WETBULB_TEMPERATURE_MAX_05,,133,153570
WEATHER_RELATIVE_HUMIDITY_MIN_10,,134,153195
WEATHER_DIRECT_SOLAR_RADIATION_AVG_08,,135,151631
WEATHER_RELATIVE_HUMIDITY_AVG_05,,136,151192
WEATHER_DRYBULB_TEMPERATURE_AVG_07,,137,148795
WEATHER_WETBULB_TEMPERATURE_VAR_12,,138,148271
X2523,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory3Exposed].Area,139,147932
WEATHER_WETBULB_TEMPERATURE_MAX_10,,140,147314
WEATHER_RELATIVE_HUMIDITY_AVG_04,,141,147066
WEATHER_WETBULB_TEMPERATURE_MAX_04,,142,146921
WEATHER_DRYBULB_TEMPERATURE_AVG_08,,143,146548
WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_11,,144,145376
X4194,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowSouth1].Area,145,144899
X4158,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowNorth1].Area,146,144899
WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_12,,147,144216
WEATHER_DIRECT_SOLAR_RADIATION_AVG_09,,148,144071
X4122,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowEast1].Area,149,143382
X4206,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowWest1].Area,150,143382
WEATHER_DRYBULB_TEMPERATURE_AVG_09,,151,141278
WEATHER_DRYBULB_TEMPERATURE_AVG_06,,152,140486
X7674,HPXML.Building.BuildingDetails.Systems.WaterHeating.WaterHeatingSystem[WaterHeater1].TankVolume,153,140173
WEATHER_WETBULB_TEMPERATURE_VAR_11,,154,139760
WEATHER_DIRECT_SOLAR_RADIATION_AVG_04,,155,138736
WEATHER_WETBULB_TEMPERATURE_AVG_07,,156,136605
WEATHER_WETBULB_TEMPERATURE_VAR_05,,157,136042
X4125,HPXML.Building.BuildingDetails.Enclosure.Windows.Window[WindowEast1].Azimuth,158,135798
WEATHER_WETBULB_TEMPERATURE_AVG_08,,159,134130
WEATHER_WETBULB_TEMPERATURE_MAX_11,,160,132726
WEATHER_WETBULB_TEMPERATURE_VAR_10,,161,130749
WEATHER_WETBULB_TEMPERATURE_AVG_06,,162,128408
WEATHER_WETBULB_TEMPERATURE_AVG_09,,163,128015
WEATHER_DRYBULB_TEMPERATURE_AVG_05,,164,127858
WEATHER_WETBULB_TEMPERATURE_VAR_04,,165,126098
X0192,HPXML.Building.BuildingDetails.Systems.HVAC.HVACControl.SetupTempCoolingSeason,166,123664
WEATHER_DRYBULB_TEMPERATURE_AVG_10,,167,119943
WEATHER_DRYBULB_TEMPERATURE_AVG_04,,168,117646
WEATHER_DRYBULB_TEMPERATURE_MAX_02,,169,116541
WEATHER_DRYBULB_TEMPERATURE_MAX_03,,170,115482
X3300,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOfBasementConditioned1].ExposedPerimeter,171,114563
X1777,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistBasementConditionedExposed1].Area,172,114563
WEATHER_WETBULB_TEMPERATURE_AVG_05,,173,113121
WEATHER_DRYBULB_TEMPERATURE_MIN_08,,174,109953
WEATHER_WETBULB_TEMPERATURE_AVG_10,,175,109327
WEATHER_DIRECT_SOLAR_RADIATION_AVG_03,,176,109050
WEATHER_WETBULB_TEMPERATURE_MIN_08,,177,108116
WEATHER_WETBULB_TEMPERATURE_VAR_09,,178,107795
WEATHER_DRYBULB_TEMPERATURE_AVG_11,,179,107386
WEATHER_DIRECT_SOLAR_RADIATION_AVG_10,,180,107253
WEATHER_WETBULB_TEMPERATURE_MIN_07,,181,106354
